Id,Title,Publication,Publication_Type,Publication_Domain,Link,Author,Date,QAI_Types,Base_Technique,QAI_Integration_Mechanism,Number_Of_Agents,Modality,Number_Of_Input_Modalities,Part_Of_EI_Enhanced_By_QAI,Main_Functionality_Of_Enhanced_Modules,Enhancement_Type,Explanation_Details,Capability_And_Primary_Task,Application_Context,Mobility_Mode,Github_Repo,Quantum_Side_Execution,Quantum_Side_Platform,Embodied_Side_Evaluation,Embodied_Side_Platform,Hybrid_Setting
35,Multi AUV intelligent autonomous learning mechanism based on QPSO algorithm,Lecture Notes in Computer Science,Conference,Computer Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944744382&doi=10.1007%2F978-3-319-22186-1_6&partnerID=40&md5=29e38fa4a45076bee700adaa258f8e0d,"Li, J.-J.; Zhang, R.-B.; Yang, Y.",2015,quantum-inspired,Swarm intelligence,Quantum probabilistic state representation of random variable distributions,multi,Proprioception,unimodal,reasoning,Autonomous global optimal operational state inference for multi-AUV collaborative task execution,"Optimization, Learning",Optimization: QPSO improves multi-AUV search over decision parameters; Learning: QPSO supports autonomous multi-agent learning,Exploration Monitoring,Environmental,Aquatic Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
36,Multi-Robot Source Location of Scalar Fields by a Novel Swarm Search Mechanism With Collision/Obstacle Avoidance,IEEE Transactions on Intelligent Transportation Systems,Journal,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9151253,R. -G. Li; H. -N. Wu,2022,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,multi,Enviromental Modality,unimodal,reasoning,"QLFBO converts the field strength data measured by robots into an optimization evaluation function, and generates paths by iteratively searching for the optimal position.",Optimization,Optimization:Optimization: QLFBO searches for the optimal solution iteratively.,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
37,Quantum Deep Reinforcement Learning for Robot Navigation Tasks,IEEE Access,Journal,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10568148,H. Hohenfeld; D. Heimann; F. Wiebe; F. Kirchner,2024,hybrid,Reinforcement learning,Parameterized quantum circuit as learnable operator,single,Proprioception,unimodal,reasoning,PQC as compact action-value function approximator in DDQN for discrete-action wheeled robot navigation,Learning,Learning: Quantum deep reinforcement learning improves robot navigation decisions,Navigation Path Planning,Generic Robotics,Wheeled Robot,https://github.com/dfki-ric-quantum/qdrl-turtlebot-env,Quantum simulator or software framework,TensorFlow Quantum; Cirq,Embodied simulator or benchmark environment,PyBullet,Coupled quantum-side execution and embodied-side evaluation
38,Quantum-Enhanced AI Robotics for Sustainable Agriculture: Pioneering Autonomous Systems in Precision Farming,2024 International Conference on Artificial Intelligence and Quantum Computation-Based Sensor Application (ICAIQSA),Conference,Quantum,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10882412,P. Khobragade; P. K. Dhankar; A. Titarmare; M. Dhone; S. Thakur; P. Saraf,2024,hybrid,"Support vector machine,K-means","Quantum probabilistic state representation of random variable distributions,Quantum feature mapping",single,"Vision,Environmental Modality",multimodal,reasoning,"QML analyzes multi-source sensor data to predict crop yield and detect field health patterns,QAOA is described as solving combinatorial scheduling and resource allocation problems","Learning, Representation",Learning: Quantum AI improves autonomous decision learning in precision farming; Representation: Quantum AI improves agricultural system representation,Agricultural Operation,Agriculture,Unspecified,,Quantum-side execution not specified,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
39,Quantum Exploration-based Reinforcement Learning for Efficient Robot Path Planning in Sparse-Reward Environment,2024 33rd IEEE International Conference on Robot and Human Interactive Communication (ROMAN),Conference,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10731199,C. Huang; Y. Guo; Z. Zhu; M. Si; D. Blankenberg; R. Liu,2024,quantum-inspired,Reinforcement learning,Quantum probabilistic state representation of random variable distributions,single,Proprioception,unimodal,reasoning,Quantum-domain action quality evaluation as an efficient exploration oracle for sparse-reward path planning,"Probabilistic, Learning",Probabilistic: Quantum randomness improves exploration efficiency in sparse-reward settings; Learning: Better exploration improves reinforcement learning,Navigation Path Planning,Generic Robotics,Wheeled Robot,,Classical execution of quantum-inspired method,,Embodied simulator or benchmark environment,Unreal Engine,Embodied-side evaluation with classical quantum-inspired execution
40,Quantum Driven Dynamic Passivity-Based Neuromechanical Control for Wrist Rehabilitation Robot,IEEE Transactions on Medical Robotics and Bionics,Journal,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10970067,N. A. Khan; F. Hussain; T. Goyal; P. K. Jamwal; S. Hussain,2025,hybrid,Reinforcement learning,Parameterized quantum circuit as learnable operator,single,"Haptics,Physiological Modality",multimodal,reasoning,QDRL is responsible for classifying energy-exchange level relative to a dynamic threshold to complete the task of Real-time patient passivity classification,"Control, Representation",Control: Quantum-driven passivity methods improve rehabilitation control decisions; Representation: Quantum modeling improves neuromechanical system representation,Control,Healthcare,Wearable Robot,,Quantum-side execution not specified,,Physical embodied platform,Wrist rehabilitation robot,One-sided execution/evaluation without explicit counterpart
41,Empowering Autonomous Decision-Making Through Quantum Reinforcement Learning and Cognitive Neuromorphic Frameworks,2024 4th International Conference on Mobile Networks and Wireless Communications (ICMNWC),Conference,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10872223,B. R; V. G. Biradar,2024,hybrid,Reinforcement learning,Parameterized quantum circuit as learnable operator,single,"Vision,Language",multimodal,reasoning,"Not clear,QRL is claimed to accelerate policy learning","Learning, Representation",Learning: Quantum reinforcement learning improves autonomous decision-making; Representation: Cognitive neuromorphic integration improves decision representation,Decision Making,Generic Robotics,Fixed-base Robot,,Quantum-side execution not specified,,Embodied simulator or benchmark environment,OpenAI Gym,One-sided execution/evaluation without explicit counterpart
42,ReLAQA: Reinforcement Learning-Based Autonomous Quantum Agent for Quantum Applications,IEEE Transactions on Artificial Intelligence,Journal,Artificial Intelligence,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10623205,A. Alomari; S. A. P. Kumar,2025,quantum,Reinforcement learning,Incorporating quantum algorithms,single,Proprioception,unimodal,reasoning,Fully-quantum sequential action selection and probability amplitude amplification for goal-state navigation in a quantum state space,"Learning, Representation",Learning: Reinforcement learning improves autonomous agent policy learning; Representation: Quantum-agent design improves autonomous reasoning representation,Decision Making,Generic Robotics,Non-Robotic System,,Quantum hardware or quantum-device execution,Qiskit; IBM quantum backend,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
43,Quantum Machine Learning and Grover's Algorithm for Quantum Optimization of Robotic Manipulators,IEEE Robotics and Automation Letters,Journal,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11223101,H. Nigatu; G. Shi; J. Li; J. Wang; G. Lu; H. Li,2025,hybrid,Machine learning(Unspecified),Incorporating quantum algorithms,single,Proprioception,unimodal,execution,Quadratic reduction in search complexity,Kinematics Dynamics Modeling,Optimization: Grover search accelerates robotic manipulator control optimization,Optimization,Manufacturing,Fixed-base Robot,,Quantum hardware or quantum-device execution,Qiskit; IBM quantum backend,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
44,A Self-Evolving Multi-Agent Robotic Swarm with Reinforcement Learning and Quantum Firefly-Ant Colony Optimization for Adaptive Environmental Monitoring,2025 IEEE 6th International Conference in Robotics and Manufacturing Automation (ROMA),Conference,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11155775,A. Vinothkumar; M. Anand; B. Raja; A. P. George; S. M. Sarlina,2025,quantum-inspired,Swarm intelligence,Quantum probabilistic state representation of random variable distributions,multi,"Vision,Proprioception,Position Modality",multimodal,reasoning,Real-time swarm task allocation and RL hyperparameter optimization,"Optimization, Learning",Optimization: Quantum firefly-ant colony optimization improves collective task search; Learning: Reinforcement learning improves swarm adaptation decisions,Monitoring Inspection,Environmental,Non-Robotic System,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
45,Towards Uncertainty-aware Robotic Perception via Mixed-signal BNN Engine Leveraging Probabilistic Quantum Tunneling,2025 62nd ACM/IEEE Design Automation Conference (DAC),Conference,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11132881,L. Pei; Y. Zhou; X. Wang; X. Zhao; W. Huang; B. Cheng; H. Mulaosmanovic; S. Duenkel; D. Kleimaier; S. Beyer; K. Ni; M. Hou; M. Niemier; N. Cao,2025,hybrid,Neural networks,Quantum random number generation,single,"Vision,Position Modality",multimodal,perception,"Perception in uncertain environment including noise recognition,model uncertainty perception,real-time visual localization,safety robustness,and data-efficient active perception",Probabilistic,Probabilistic: Quantum tunneling provides true randomness for uncertainty modeling,Perception Recognition,Generic Robotics,Aquatic Robot,,Quantum simulator or software framework,SPICE Models,No embodied-side evaluation platform reported,,One-sided execution/evaluation without explicit counterpart
46,Ameliorated Particle Swarm Optimization Algorithm and Its Application in Robot Path Planning,2020 Chinese Automation Congress (CAC),Conference,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9327685,L. Dong; X. Yuan; C. Zhang; Y. Song; Q. Xu; F. Zhou,2020,quantum-inspired,Swarm intelligence,Quantum probabilistic state representation of random variable distributions,single,Proprioception,unimodal,reasoning,Quantum potential well-based probabilistic particle search for globally optimal collision-free path planning,Optimization,Optimization: Improved PSO enhances robot path planning decisions,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation; MATLAB,Embodied-side evaluation with classical quantum-inspired execution
47,A Novel Hybrid Quantum Architecture for Path Planning in Quantum-Enabled Autonomous Mobile Robots,IEEE Transactions on Consumer Electronics,Journal,Other,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10585333,M. Sarkar; J. Pradhan; A. Kumar Singh; H. Nenavath,2024,hybrid,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Position Modality,unimodal,reasoning,Quantum selector realizes true random selection of the next node by calculating the data of probalities from the classical algorithm,Probabilistic,Probabilistic:Quantum realizes the true random selection,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),Null,Quantum simulator or software framework,Qiskit,Numerical or engineering simulation,Python 3.11,Coupled quantum-side execution and embodied-side evaluation
48,Adaptive Parameter Tuning in QRDPSO Using Fuzzy Logic for Enhanced Swarm Robot Navigation,2025 1st International Conference on Computational Intelligence Approaches and Applications (ICCIAA),Conference,Artificial Intelligence,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11012942,D. Mehiar; H. Elsimary; Z. H. Azizul; H. Abuhammad; F. Alnajjar; M. Alhawarat,2025,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,multi,Position Modality,unimodal,reasoning,"By introducing the concept of quantum Monte Carlo random term to optimize the particle update formula of PSO, particles are endowed with quantum tunneling effect to escape from local optima.",Probabilistic,"Probabilistic:Quantum Monte Carlo random terms are introduced to enhance the probabilistic behavior of particles, thereby improving algorithm performance.",Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
49,Fuzzy PID Control for Bipedal Robots based on Quantum Computing,2024 International Conference on System Science and Engineering (ICSSE),Conference,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10608851,W. -S. Yu; Y. -H. Lin,2024,quantum-inspired,Fuzzy inference,"Quantum probabilistic state representation of random variable distributions,Incorporating quantum algorithms",single,"Vision,Proprioception",multimodal,execution,"Oracle operator marks the quantum states corresponding to valid and high-performence fuzzy rules,Grover's algorithm accelerates the search for the best fuzzy inference",Optimization,Optimization:Grover search accelerates the search for the best fuzzy inference,Control,Generic Robotics,Humanoid Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
50,Stiffness performance optimization method of drilling robot based on QPSO algorithm,2024 WRC Symposium on Advanced Robotics and Automation (WRC SARA),Conference,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10685806,Y. Zhang; Y. Tao; H. Wei; H. Liu; J. Wan; R. Guo,2024,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",single,Haptics,unimodal,execution,"Use wave function to represent the state of the velocity,and the updating formula is optimized with quantum mechanical formulation","Representation,Optimization",Representation:The particle is represented by quantum wave.Optimization:Quantum mechanics formular is introduced to optimize the PSO,Control,Manufacturing,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Physical embodied platform,Haina mobile collaborative robot; Composite drilling robot prototype,Embodied-side evaluation with classical quantum-inspired execution
51,Quantum Enhanced Transformer Network for Learning Transactive Energy During Physical Human-Robot Interaction,IEEE Transactions on Human-Machine Systems,Journal,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11226885,N. A. Khan; P. K. Jamwal; F. Hussain; W. Spratford; S. Hussain,2025,quantum-inspired,Neural networks,Quantum feature mapping,single,"Haptics,Proprioception",multimodal,perception,"The input matrix is normalized and then encoded into corresponding qubits. Operations are performed on these qubits, and quantum-enhanced features are finally obtained through measurement.",Learning,Learning:Using quantum-enhanced features instead of classical data to improve transformer network,Monitoring Inspection,Healthcare,Wearable Robot,,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
52,Investigating Quantum Artificial Neural Networks for Singularity Avoidance in Robotic Manipulators,2024 12th International Conference on Systems and Control (ICSC),Conference,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10928865,M. Fazilat; N. Zioui,2024,quantum-inspired,Neural networks,Quantum activation function,single,Proprioception,unimodal,execution,"Quantum mechanical superposition and SU(2) unitary transformations construct a strong nonlinear activation rule by performing quantum state encoding, Bloch sphere rotation, and quantum state mapping on neuron inputs.",Learning,Learning:Quantum activation function replaces classical activation to improve NN,Control,Generic Robotics,Fixed-base Robot,,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
53,Evolutionary dual rule-based fuzzy path planner for omnidirectional mobile robot,2016 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),Conference,Artificial Intelligence,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7737765,C. Hong; C. W. Park; J. -H. Kim,2016,quantum-inspired,Evolutionary computation,Quantum probabilistic state representation of random variable distributions,single,Position Modality,unimodal,reasoning,"The seven fuzzy scaling parameters of EDrFPP are encoded with quantum bits, and candidate parameter sets are generated through probabilistic observation. These sets are substituted into path planning to compute multi-objective fitness, followed by iterative updating using quantum rotation gates. Finally, optimal parameters that make the path safer, faster, and smoother are output.","Representation,Optimization","Representation:A Q-bit individual can represent multiple candidate solutions, significantly improving search efficiency.Optimization:QEA is used to optimize the scaling parameters of the fuzzy path planner EDrFPP to achieve multi-objective path optimality.",Navigation Path Planning,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,Embodied simulator or benchmark environment,MATLAB; Webots,Embodied-side evaluation with classical quantum-inspired execution
54,Quantum Software Engineering Supremacy in Intelligent Robotics,2020 International Scientific and Technical Conference Modern Computer Network Technologies (MoNeTeC),Conference,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9258000,V. V. Korenkov; A. G. Reshetnikov; S. V. Ulyanov,2020,quantum-inspired,"Evolutionary computation,Fuzzy inference","Quantum probabilistic state representation of random variable distributions,Incorporating quantum algorithms",single,Proprioception,unimodal,execution,"FI maps control error and imperfect fuzzy KB responses to quantum states and defines candidate PID gain schedules; QGA evaluates candidates by fitness and updates K(t) online,Grover-style oracle + diffusion/interference boosts probability of high-fitness candidates so the best schedule is decoded with fewer search iterations",Optimization,Optimization:QFI generates candidate solutions and QGA performs evaluation and selection.Grover search amplifies the probability of high‑fitness solutions and reduce the number of search iterations,Control,Generic Robotics,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
55,Path Planning of Escort Robot Based on Improved Quantum Particle Swarm Optimization,2019 Chinese Control And Decision Conference (CCDC),Conference,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8833185,M. -h. Jiao; H. -x. Wei; B. -w. Zhang; J. -q. Jin; Z. -q. Jia; J. -l. Yan,2019,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Position Modality,unimodal,reasoning,"IQPSO encodes paths as particles, searches iteratively via quantum-behaved update formulas in a grid environment with the objectives of shortest path and obstacle avoidance, and finally outputs the optimal grid path.",Optimization,"Optimization:By introducing quantum concepts into the PSO update equations, the performance of PSO in searching for the optimal path is improved",Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Physical embodied platform,Escort robot prototype,Embodied-side evaluation with classical quantum-inspired execution
56,A Grover-Operator-Based Quantum Variant of Particle Swarm Optimization for Robot Manipulators' Inverse Kinematics: Theory and Simulation,IEEE Access,Journal,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11224487,D. O. Santos; F. M. De Assis; E. A. N. Carvalho; L. Molina,2025,quantum-inspired,Swarm intelligence,Incorporating quantum algorithms,single,Proprioception,unimodal,execution,"QG‑PSO uses the Grover operator to implement Quantum Amplitude Amplification or quadratic speedup in unstructured search, replacing exhaustive global-best evaluation in standard PSO with suboptimal particle search, drastically cutting forward kinematics computations per iteration. It significantly improves inverse kinematics solving efficiency for multi‑DoF robot manipulators",Optimization,Optimization:Grover search achieves quadratic quantum speedup to quickly find a qualified suboptimal particle,Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,https://github.com/GPRUFS/Quantum-Grover-PSO,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation; Kinematic Simulator,Embodied-side evaluation with classical quantum-inspired execution
57,A Quantum-Based Collaborative Guidance Strategy for Multirobot Plume Source Localization,IEEE Transactions on Control of Network Systems,Journal,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10309252,R. -G. Li; H. -N. Wu,2024,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",multi,Enviromental Modality,unimodal,reasoning,DQIG reasons about each robot's globally optimal next position toward the plume concentration maximum X* via quantum Delta-well updates,Optimization,Optimization:Quantum Delta potential well combined with knowledge-driven exploration/exploitation switching to search for the next optimal position,Navigation Path Planning,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation; Kinematic Simulator,Embodied-side evaluation with classical quantum-inspired execution
58,Foot Trajectory Optimization of the Chebyshev Wheel-legged Robot Based on Quantum Particle Swarm Optimization,"2023 6th International Conference on Mechatronics, Robotics and Automation (ICMRA)(",Conference,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10708634,J. Jiang; J. Zhou; H. Ma; L. Meng,2023,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"QPSO uses quantum Monte Carlo sampling to globally optimize the foot-end trajectory, and outputs the optimal mechanism size and stable gait, thereby significantly improving the motion execution efficiency","Optimization,Control","Optimization:Particle positions are determined by quantum wave functions and Monte Carlo random sampling, enhancing global optimization capability. Control:QPSO optimizes foot-end trajectories, improving motion stability",Control,Generic Robotics,Wheeled Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
59,Research on Rao-Blackwillised Particle Filter SLAM algorithm based on QPSO,2018 37th Chinese Control Conference (CCC),Conference,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8483359,M. Chen; C. Bian; Y. Jian Wu,2018,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,"Proprioception,Position Modality",multimodal,perception,"QPSO improves particle pose optimization, mitigates particle degeneracy, and maintains particle diversity, leading to more accurate simultaneous localization and mapping (SLAM) positioning and mapping, thereby indirectly enhancing the environmental perception and self-state perception accuracy of embodied intelligence",Optimization,"Optimization:QPSO optimizes particle poses during the resampling stage, mitigating degeneracy and preserving diversity",Simultaneous Localization And Mapping,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB; Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
60,Analytical Inverse Kinematics for a Prismatic-Revolute Hybrid Joints Radiography Robot Mounted on the Ambulance,IEEE/ASME Transactions on Mechatronics,Journal,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10646385,L. Zheng; P. Lin; M. Liang; C. Wang; Y. Li; J. Sun; Y. Han; H. Liu,2025,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"CQPSO solves the redundant self-motion parameter θ₄ in real time, enabling the robot to execute continuous remote center motion smoothly and within joint limits while guaranteeing end-effector pose precision.",Optimization,"Optimization:CQPSO determines the redundant complexity, reduces mechanical jitter, and guarantees real-time performance.",Kinematics Dynamics Modeling,Healthcare,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,C++,Embodied-side evaluation with classical quantum-inspired execution
61,Research on Inverse Kinematics of Redundant Robotic Arms Based on Flexibility Index,IEEE Robotics and Automation Letters,Journal,Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10577192,W. Ma; Q. Du; R. Zhu; W. Han; D. Chen; Y. Geng,2024,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"Given the task-space pose/position target, DMII-IQPSO searches for a set of joint angles for the 7-DOF redundant manipulator to minimize the end-effector position error.",Optimization,"Optimization:The three-segment tangential piecewise Logistic chaotic map is used to generate initial particles, which yields a more uniform distribution than conventional random initialization or two-segment chaotic maps. The dual-mode position update ensures both fast optimization capability and quantum search capability.",Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
62,Cognitive intelligent robust control system based on quantum fuzzy inference for robotics and mechatronics,2017 IEEE 15th International Symposium on Intelligent Systems and Informatics (SISY),Conference,Artificial Intelligence,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8080563,S. V. Ulyanov; A. G. Reshetnikov,2017,quantum-inspired,Fuzzy inference,Quantum probabilistic state representation of random variable distributions,single,Proprioception,unimodal,reasoning,"Quantum Fuzzy Inference is performed on the outputs of multiple independent fuzzy inference channels: through the steps of superposition, correlation, interference, and measurement, it revises and fuses the outputs of each fuzzy controller (FC) online to generate a unified, robust optimal or suboptimal control signal.",Learning,"Learning:Combining QFI and SCO with KB and FC, executable policies are acquired and updated under uncertain and multi-source knowledge conditions.",Control,Generic Robotics,Wheeled Robot,Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
63,Shaping the Future of Logistics: Quantum-Inspired Optimization for Autonomous Deliveries,"2025 6th International Conference on Control, Communication and Computing (ICCC)",Conference,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11077310,V. B. Pusuluri; M. J. Motam; P. V. R. Jitendara; P. Vetsa; M. S. S. Vasana,2025,quantum-inspired,Swarm intelligence,"Quantum probabilistic state representation of random variable distributions,Quantum-inspired parameter update mechanism",multi,Position Modality,unimodal,reasoning,QHFA optimally assigns delivery robots to houses by evaluating the fitness of pitential assignments based on factors,Optimization,Optimization:Quantum-inspired encoding enhances exploration and diversity in solutions and prevents convergence to suboptimal solutions,Task Allocation Coordination,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,Numerical simulation,Embodied-side evaluation with classical quantum-inspired execution
64,A coalition formation algorithm for Multi-Robot Task Allocation in large-scale natural disasters,2017 13th International Wireless Communications and Mobile Computing Conference (IWCMC),Conference,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7986575,C. Mouradian; J. Sahoo; R. H. Glitho; M. J. Morrow; P. A. Polakos,2017,quantum-inspired,Swarm intelligence,Quantum probabilistic state representation of random variable distributions,multi,Proprioception,unimodal,reasoning,The problem is modeled as a multi-objective optimization problem.QMOPSO is applied and generates a set of non-dominated or Paretooptimal solutions.,"Represetation,Optimization",Representation:The particle in the algorithm is defined by a quantum bit.Optimization:Quantum representation keep the diversity and accelebrate the processing time.,Task Allocation Coordination,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
65,A Collaborative Assembly for Low-Voltage Electrical Apparatuses,Frontiers of Information Technology & Electronic Engineering,Journal,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11292834,H. Lyu; L. Zhang; D. Tan; F. Xu,2023,quantum-inspired,Evolutionary computation,Quantum probabilistic state representation of random variable distributions,multi,Proprioception,unimodal,reasoning,"AQGA is employed to optimize task allocation and assembly line balancing in the collaborative assembly of low-voltage electrical apparatuses, aiming to minimize the number of robots and improve the workload distribution efficiency.
","Representation,Optimization",Representation:the smallest information unit is represented by a qubit in QGA.Optimization:QGA solves the robotic assembly line balancing problem and optimizes the assembly sequence.,Task Allocation Coordination,Generic Robotics,Mobile Robot(unspecified),Null,Classical execution of quantum-inspired method,,No embodied-side evaluation platform reported,,Algorithm-level/conceptual evaluation without explicit execution/evaluation
66,Robot Calibration Method Based on Extended Kalman Filter–Dual Quantum Behaved Particle Swarm Optimization and Adaptive Neuro-Fuzzy Inference System,IEEE Access,Journal,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9547281,H. Q. Cao; H. X. Nguyen; T. T. Nguyen; V. Q. Nguyen; J. W. Jeon,2021,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,execution,"QPSO-1 is designed to automatically seek superior Q/R covariance matrices, thereby minimizing the RMSE between the robot's measured end-effector positions and those estimated by the EKF. Following the initial error acquisition by QPSO-1, QPSO-2 employs these results as its initial search points to directly refine and optimize the robot's kinematic parameter errors.","Optimization,Control",Optimization:QPSO minimizes the RMSE of the end-effector position to achieve the optimization effect.Control:More accurate robot calibration parameters improve the precision of executive control.,Kinematics Dynamics Modeling,Generic Robotics,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB,Embodied-side evaluation with classical quantum-inspired execution
67,Motion Planning for Dual-Arm Space Robot Towards Capturing Target Satellite and Keeping the Base Inertially Fixed,IEEE Access,Journal,Computer Science,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8352811,X. Chen; S. Qin,2018,quantum-inspired,Swarm intelligence,Quantum-inspired parameter update mechanism,single,Proprioception,unimodal,reasoning,QPSO mainly enhances the motion planning capability in the reasoning module.,Optimization,"Optimization:QPSO optimizes the dual-arm trajectories of space robots, enabling the robot to perform target satellite capture tasks with higher accuracy and stability.",Control,Space,Fixed-base Robot,,Classical execution of quantum-inspired method,,Numerical or engineering simulation,MATLAB 2015b; INTLAB 6.0,Embodied-side evaluation with classical quantum-inspired execution
